
====================================
            Glide Script            
====================================

mmshare         2cb27f0eb7
glide-src       1e5ffd4733
psp-src         6c93e2fe77
macromodel-src  d47a6cf2e1
epik-src        46d635d642

--------------------------------------------------------------------------------
JobId          : tscc-13-18-0-62c8bb25
Name           : glide-dock_HTVS_1
Program        : Glide
Host           : tscc-13-18.sdsc.edu
Dir            : /oasis/tscc/scratch/cseitz/docking/mtb/disulfide/oxygen_channel/oxygen_1845/lifechemicals
HostEntry      : localhost
JobHost        : tscc-13-18.sdsc.edu
JobDir         : /oasis/tscc/scratch/cseitz/docking/mtb/disulfide/oxygen_channel/oxygen_1845/lifechemicals/cseitz/glide-dock_HTVS_1
JobSchrodinger : /home/ux453813/pkg/schrodinger2021-1
Commandline    : /home/ux453813/pkg/schrodinger2021-1/glide -WAIT glide-dock_HTVS_1.in -OVERWRITE -adjust -HOST localhost:64 -NJOBS 256 -NOLOCAL
StartTime      : 2022-07-08-16:18:02
--------------------------------------------------------------------------------

Running locally: False
Max retries: 2
Input file: glide-dock_HTVS_1.in

Setting up docking job
Separating ligands...
..................................................     50000
..................................................    100000
..................................................    150000
..................................................    200000
..................................................    250000
..................................................    300000
..................................................    350000
..................................................    400000
..................................................    450000
..................................................    500000
..................................................    550000
..................................................    600000
..................................................    650000
..................................................    700000
..................................................    750000
..................................................    800000
..................................................    850000
..................................................    900000
..............................                        930464
Number of structures that are to be docked: 930464
Setting up Glide docking jobs...

Running subjobs on hosts:
  localhost (Max: 64)
Number of jobs:       256
Max retries per job:  2
Max allowed failures: unlimited
Verbosity:            normal

Starting JobDJ...

Keep one job on driver host: False
JobDJ columns:
  C: Number of completed subjobs
  A: Number of active subjobs (e.g., submitted, running)
  W: Number of waiting/pending subjobs

  C   A   W | Activity  JobId  JobName  JobHost
--- --- --- | --------- -----------------------
  0   1 255 | launched  tscc-13-18-0-62c8bcae glide-dock_HTVS_1-0001 localhost [tscc-13-18]
  0   2 254 | launched  tscc-13-18-0-62c8bcb0 glide-dock_HTVS_1-0002 localhost [tscc-13-18]
  0   3 253 | launched  tscc-13-18-0-62c8bcb3 glide-dock_HTVS_1-0003 localhost [tscc-13-18]
  0   4 252 | launched  tscc-13-18-0-62c8bcb5 glide-dock_HTVS_1-0004 localhost [tscc-13-18]
  0   5 251 | launched  tscc-13-18-0-62c8bcb8 glide-dock_HTVS_1-0005 localhost [tscc-13-18]
  0   6 250 | launched  tscc-13-18-0-62c8bcba glide-dock_HTVS_1-0006 localhost [tscc-13-18]
  0   7 249 | launched  tscc-13-18-0-62c8bcbd glide-dock_HTVS_1-0007 localhost [tscc-13-18]
  0   8 248 | launched  tscc-13-18-0-62c8bcbf glide-dock_HTVS_1-0008 localhost [tscc-13-18]
  0   9 247 | launched  tscc-13-18-0-62c8bcc2 glide-dock_HTVS_1-0009 localhost [tscc-13-18]
  0  10 246 | launched  tscc-13-18-0-62c8bcc4 glide-dock_HTVS_1-0010 localhost [tscc-13-18]
  0  11 245 | launched  tscc-13-18-0-62c8bcc7 glide-dock_HTVS_1-0011 localhost [tscc-13-18]
  0  12 244 | launched  tscc-13-18-0-62c8bcc9 glide-dock_HTVS_1-0012 localhost [tscc-13-18]
  0  13 243 | launched  tscc-13-18-0-62c8bccc glide-dock_HTVS_1-0013 localhost [tscc-13-18]
  0  14 242 | launched  tscc-13-18-0-62c8bcce glide-dock_HTVS_1-0014 localhost [tscc-13-18]
  0  15 241 | launched  tscc-13-18-0-62c8bcd1 glide-dock_HTVS_1-0015 localhost [tscc-13-18]
  0  16 240 | launched  tscc-13-18-0-62c8bcd3 glide-dock_HTVS_1-0016 localhost [tscc-13-18]
  0  17 239 | launched  tscc-13-18-0-62c8bcd5 glide-dock_HTVS_1-0017 localhost [tscc-13-18]
  0  18 238 | launched  tscc-13-18-0-62c8bcd8 glide-dock_HTVS_1-0018 localhost [tscc-13-18]
  0  19 237 | launched  tscc-13-18-0-62c8bcda glide-dock_HTVS_1-0019 localhost [tscc-13-18]
  0  20 236 | launched  tscc-13-18-0-62c8bcdd glide-dock_HTVS_1-0020 localhost [tscc-13-18]
  0  21 235 | launched  tscc-13-18-0-62c8bcdf glide-dock_HTVS_1-0021 localhost [tscc-13-18]
  0  22 234 | launched  tscc-13-18-0-62c8bce1 glide-dock_HTVS_1-0022 localhost [tscc-13-18]
  0  23 233 | launched  tscc-13-18-0-62c8bce4 glide-dock_HTVS_1-0023 localhost [tscc-13-18]
  0  24 232 | launched  tscc-13-18-0-62c8bce6 glide-dock_HTVS_1-0024 localhost [tscc-13-18]
  0  25 231 | launched  tscc-13-18-0-62c8bce8 glide-dock_HTVS_1-0025 localhost [tscc-13-18]
  0  26 230 | launched  tscc-13-18-0-62c8bceb glide-dock_HTVS_1-0026 localhost [tscc-13-18]
  0  27 229 | launched  tscc-13-18-0-62c8bced glide-dock_HTVS_1-0027 localhost [tscc-13-18]
  0  28 228 | launched  tscc-13-18-0-62c8bcf0 glide-dock_HTVS_1-0028 localhost [tscc-13-18]
  0  29 227 | launched  tscc-13-18-0-62c8bcf2 glide-dock_HTVS_1-0029 localhost [tscc-13-18]
  0  30 226 | launched  tscc-13-18-0-62c8bcf5 glide-dock_HTVS_1-0030 localhost [tscc-13-18]
  0  31 225 | launched  tscc-13-18-0-62c8bcf7 glide-dock_HTVS_1-0031 localhost [tscc-13-18]
  0  32 224 | launched  tscc-13-18-0-62c8bcfa glide-dock_HTVS_1-0032 localhost [tscc-13-18]
  0  33 223 | launched  tscc-13-18-0-62c8bcfc glide-dock_HTVS_1-0033 localhost [tscc-13-18]
  0  34 222 | launched  tscc-13-18-0-62c8bcff glide-dock_HTVS_1-0034 localhost [tscc-13-18]
  0  35 221 | launched  tscc-13-18-0-62c8bd01 glide-dock_HTVS_1-0035 localhost [tscc-13-18]
  0  36 220 | launched  tscc-13-18-0-62c8bd03 glide-dock_HTVS_1-0036 localhost [tscc-13-18]
  0  37 219 | launched  tscc-13-18-0-62c8bd06 glide-dock_HTVS_1-0037 localhost [tscc-13-18]
  0  38 218 | launched  tscc-13-18-0-62c8bd09 glide-dock_HTVS_1-0038 localhost [tscc-13-18]
  0  39 217 | launched  tscc-13-18-0-62c8bd0b glide-dock_HTVS_1-0039 localhost [tscc-13-18]
  0  40 216 | launched  tscc-13-18-0-62c8bd0e glide-dock_HTVS_1-0040 localhost [tscc-13-18]
  0  41 215 | launched  tscc-13-18-0-62c8bd11 glide-dock_HTVS_1-0041 localhost [tscc-13-18]
  0  42 214 | launched  tscc-13-18-0-62c8bd14 glide-dock_HTVS_1-0042 localhost [tscc-13-18]
  0  43 213 | launched  tscc-13-18-0-62c8bd17 glide-dock_HTVS_1-0043 localhost [tscc-13-18]
  0  44 212 | launched  tscc-13-18-0-62c8bd1a glide-dock_HTVS_1-0044 localhost [tscc-13-18]
  0  45 211 | launched  tscc-13-18-0-62c8bd1c glide-dock_HTVS_1-0045 localhost [tscc-13-18]
  0  46 210 | launched  tscc-13-18-0-62c8bd1f glide-dock_HTVS_1-0046 localhost [tscc-13-18]
  0  47 209 | launched  tscc-13-18-0-62c8bd22 glide-dock_HTVS_1-0047 localhost [tscc-13-18]
  0  48 208 | launched  tscc-13-18-0-62c8bd24 glide-dock_HTVS_1-0048 localhost [tscc-13-18]
  0  49 207 | launched  tscc-13-18-0-62c8bd27 glide-dock_HTVS_1-0049 localhost [tscc-13-18]
  0  50 206 | launched  tscc-13-18-0-62c8bd2a glide-dock_HTVS_1-0050 localhost [tscc-13-18]
  0  51 205 | launched  tscc-13-18-0-62c8bd2c glide-dock_HTVS_1-0051 localhost [tscc-13-18]
  0  52 204 | launched  tscc-13-18-0-62c8bd2f glide-dock_HTVS_1-0052 localhost [tscc-13-18]
  0  53 203 | launched  tscc-13-18-0-62c8bd32 glide-dock_HTVS_1-0053 localhost [tscc-13-18]
  0  54 202 | launched  tscc-13-18-0-62c8bd34 glide-dock_HTVS_1-0054 localhost [tscc-13-18]
  0  55 201 | launched  tscc-13-18-0-62c8bd37 glide-dock_HTVS_1-0055 localhost [tscc-13-18]
  0  56 200 | launched  tscc-13-18-0-62c8bd3a glide-dock_HTVS_1-0056 localhost [tscc-13-18]
  0  57 199 | launched  tscc-13-18-0-62c8bd3d glide-dock_HTVS_1-0057 localhost [tscc-13-18]
  0  58 198 | launched  tscc-13-18-0-62c8bd3f glide-dock_HTVS_1-0058 localhost [tscc-13-18]
  0  59 197 | launched  tscc-13-18-0-62c8bd42 glide-dock_HTVS_1-0059 localhost [tscc-13-18]
  0  60 196 | launched  tscc-13-18-0-62c8bd45 glide-dock_HTVS_1-0060 localhost [tscc-13-18]
  0  61 195 | launched  tscc-13-18-0-62c8bd47 glide-dock_HTVS_1-0061 localhost [tscc-13-18]
  0  62 194 | launched  tscc-13-18-0-62c8bd4a glide-dock_HTVS_1-0062 localhost [tscc-13-18]
  0  63 193 | launched  tscc-13-18-0-62c8bd4d glide-dock_HTVS_1-0063 localhost [tscc-13-18]
  0  64 192 | launched  tscc-13-18-0-62c8bd4f glide-dock_HTVS_1-0064 localhost [tscc-13-18]
  1  63 192 | finished  tscc-13-18-0-62c8bcd1 glide-dock_HTVS_1-0015 localhost [tscc-13-18]
  1  64 191 | launched  tscc-13-18-0-62c8c2c4 glide-dock_HTVS_1-0065 localhost [tscc-13-18]
  2  63 191 | finished  tscc-13-18-0-62c8bcd3 glide-dock_HTVS_1-0016 localhost [tscc-13-18]
  2  64 190 | launched  tscc-13-18-0-62c8c2e1 glide-dock_HTVS_1-0066 localhost [tscc-13-18]
  3  63 190 | finished  tscc-13-18-0-62c8bcb8 glide-dock_HTVS_1-0005 localhost [tscc-13-18]
  3  64 189 | launched  tscc-13-18-0-62c8c3a9 glide-dock_HTVS_1-0067 localhost [tscc-13-18]
  4  63 189 | finished  tscc-13-18-0-62c8bcb5 glide-dock_HTVS_1-0004 localhost [tscc-13-18]
  5  62 189 | finished  tscc-13-18-0-62c8bd1f glide-dock_HTVS_1-0046 localhost [tscc-13-18]
  5  63 188 | launched  tscc-13-18-0-62c8c3da glide-dock_HTVS_1-0068 localhost [tscc-13-18]
  5  64 187 | launched  tscc-13-18-0-62c8c3dd glide-dock_HTVS_1-0069 localhost [tscc-13-18]
  6  63 187 | finished  tscc-13-18-0-62c8bcd5 glide-dock_HTVS_1-0017 localhost [tscc-13-18]
  7  62 187 | finished  tscc-13-18-0-62c8bcda glide-dock_HTVS_1-0019 localhost [tscc-13-18]
  8  61 187 | finished  tscc-13-18-0-62c8bcdd glide-dock_HTVS_1-0020 localhost [tscc-13-18]
  9  60 187 | finished  tscc-13-18-0-62c8bcf5 glide-dock_HTVS_1-0030 localhost [tscc-13-18]
 10  59 187 | finished  tscc-13-18-0-62c8bd03 glide-dock_HTVS_1-0036 localhost [tscc-13-18]
 11  58 187 | finished  tscc-13-18-0-62c8bd11 glide-dock_HTVS_1-0041 localhost [tscc-13-18]
